Postcode-4;Totaal;Man;Vrouw;tot 15 jaar;15 tot 25 jaar;25 tot 45 jaar;45 tot 65 jaar;65 jaar en ouder;"Nederlandse achtergond";"Westerse migratie achtergrond";"Niet-westerse migratie achtergrond"
7334;2100;1050;1050;370;235;505;595;395;90;10;10
7335;6490;3280;3210;1035;680;1660;2000;1115;80;10;10
7336;355;205;150;30;105;105;70;40;60;10;30
7339;6215;3075;3140;840;590;1010;1860;1915;90;10;0
7341;1040;540;500;185;145;200;325;185;100;0;0
7345;2190;1100;1085;295;270;340;810;475;90;10;0
7346;235;115;120;20;15;20;85;95;90;10;-99997
7348;105;55;50;10;5;15;55;20;90;10;-99997
7351;1385;735;650;140;175;215;465;385;90;10;0
7352;50;25;25;-99997;-99997;5;20;20;90;10;-99997
7361;4960;2690;2270;480;625;910;1585;1360;90;10;0
7364;1220;615;605;195;150;210;390;280;90;0;0
7371;3300;1660;1640;395;345;615;1140;805;90;10;0
7381;1750;905;850;255;220;365;600;310;90;0;0
7382;1510;780;730;255;170;315;465;300;100;0;0
7383;2700;1390;1310;445;360;495;795;605;90;0;0
7384;2980;1565;1420;405;390;525;1105;555;90;0;0
7391;11950;5795;6155;1675;1175;2150;3520;3430;90;10;0
7392;1155;565;590;330;95;425;205;95;90;0;0
7395;760;395;365;120;80;165;245;145;90;0;0
7396;2485;1280;1205;445;305;460;770;510;90;0;0
7397;700;370;330;120;90;140;230;120;100;0;0
7399;660;330;330;105;75;120;240;120;90;0;-99997
7411;8235;4160;4075;670;1315;2440;2090;1720;80;10;10
7412;11625;5690;5935;1700;1285;3365;3255;2020;80;10;10
7413;7120;3445;3675;1065;1145;2100;2000;805;60;10;20
7414;5340;2530;2810;825;550;1080;1440;1440;80;10;10
7415;11155;5360;5795;1880;1200;3220;2465;2390;70;10;20
7416;3520;1750;1770;585;435;1130;930;440;70;10;20
7417;4885;2530;2350;815;765;1755;1115;435;50;10;40
7418;590;325;265;65;80;120;215;110;90;10;10
7419;2320;1145;1175;440;220;585;700;380;90;0;0
7421;5205;2615;2590;805;600;1095;1780;925;80;10;10
7422;2445;1210;1235;345;245;545;795;520;80;10;10
7423;6105;3070;3035;980;775;1555;1780;1010;80;10;10
7424;4565;2270;2295;1140;570;1340;1230;285;80;10;20
7425;8020;3975;4045;1655;1135;1695;2625;910;80;10;10
7426;20;10;10;5;-99997;5;5;-99997;100;-99997;-99997
7427;90;45;40;-99997;15;5;40;25;100;-99997;-99997
7428;155;85;70;25;15;30;45;35;100;0;-99997
7429;1075;505;570;70;65;130;260;550;90;10;0
7431;4745;2300;2445;680;525;675;1495;1370;90;10;0
7433;5940;2925;3015;1220;635;1345;1580;1155;80;10;10
7434;1480;770;710;215;215;230;540;280;100;0;0
7435;425;225;195;75;45;90;140;80;100;0;-99997
7437;5660;2825;2835;895;640;980;1690;1450;90;0;0
7439;305;145;160;50;30;45;100;80;90;10;10
7441;5050;2510;2540;785;540;1005;1385;1335;90;0;0
7442;10535;5200;5330;1550;1050;2355;2795;2785;90;10;0
7443;9210;4590;4620;1610;1285;2180;2755;1375;90;0;0
7447;6335;3155;3180;1020;700;1255;1755;1605;100;0;0
7448;2120;1095;1030;295;305;375;685;460;100;0;0
7451;9380;4665;4715;1395;1030;1855;2735;2360;90;0;0
7461;9580;4705;4870;1765;1170;2195;2220;2225;90;0;0
7462;13880;6915;6965;2835;1985;3175;3500;2390;90;0;10
7463;5340;2765;2575;1570;815;1540;1180;240;90;0;10
7466;330;170;160;50;50;50;115;65;100;0;-99997
7467;425;215;210;75;65;80;125;80;100;0;-99997
7468;7220;3680;3540;1230;900;1575;2050;1460;100;0;0
7471;12120;6025;6100;1690;1420;2425;3660;2925;90;10;10
7472;35;20;15;-99997;-99997;5;10;10;100;-99997;-99997
7475;7265;3685;3585;1065;870;1300;2170;1865;90;0;0
7478;2605;1300;1305;315;290;430;855;720;90;0;0
7481;10870;5360;5515;1415;1115;2015;3125;3200;90;10;10
