Postcode-4;Totaal;Man;Vrouw;tot 15 jaar;15 tot 25 jaar;25 tot 45 jaar;45 tot 65 jaar;65 jaar en ouder;"Nederlandse achtergond";"Westerse migratie achtergrond";"Niet-westerse migratie achtergrond"
1011;9705;5065;4645;760;1095;3310;2755;1780;60;30;20
1012;8600;4720;3880;410;1305;4405;1720;755;50;40;20
1013;21395;10710;10690;2490;1765;7890;6075;3180;50;20;20
1014;2175;1135;1040;435;130;1040;475;100;60;20;10
1015;14865;7535;7330;1205;1625;5290;4235;2510;60;30;10
1016;10980;5675;5305;770;1130;4310;2905;1860;50;30;10
1017;12730;6700;6030;1145;1590;5120;3120;1755;50;30;10
1018;21110;10830;10280;2075;2625;7270;5860;3280;50;20;20
1019;18980;9585;9395;2680;1995;5840;6520;1940;60;20;20
1021;7040;3605;3435;1020;825;2440;1880;880;40;20;50
1022;3445;1760;1690;805;300;1410;720;210;50;20;30
1023;4690;2195;2495;800;435;1030;1420;1010;80;10;10
1024;13190;6450;6740;2815;1775;4000;3040;1565;30;10;60
1025;15620;7590;8030;2290;2315;4205;3685;3130;50;10;40
1026;535;275;260;105;60;90;185;95;80;10;0
1027;535;290;245;80;50;120;165;120;90;10;0
1028;615;310;305;110;65;90;210;140;90;10;0
1031;6555;3310;3250;1060;655;2500;1690;650;50;10;40
1032;5915;2975;2940;1060;495;1885;1640;835;60;10;30
1033;12725;6160;6570;1650;1615;4195;3190;2075;60;10;20
1034;14970;7320;7650;2830;1905;4255;3635;2350;40;10;50
1035;10735;5160;5575;2040;1315;2605;3090;1685;60;10;30
1036;2540;1265;1280;805;275;875;520;60;50;10;40
1037;140;75;65;15;15;15;60;35;80;10;10
1041;15;10;5;-99997;-99997;-99997;-99997;-99997;40;-99997;50
1042;25;15;10;-99997;5;10;-99997;-99997;70;-99997;20
1043;725;400;325;-99997;320;380;20;-99997;20;50;30
1044;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1045;15;10;-99997;-99997;-99997;-99997;5;-99997;60;-99997;-99997
1046;80;65;15;-99997;35;25;10;-99997;20;20;50
1047;45;30;15;-99997;-99997;10;20;10;70;20;-99997
1051;13320;6590;6730;1505;1280;5570;3700;1270;50;20;30
1052;12305;6230;6075;1215;1030;5400;3165;1495;50;20;20
1053;16630;8305;8325;1670;1545;7535;3905;1970;50;20;30
1054;17135;8425;8710;1895;1695;7555;4085;1905;60;30;10
1055;21180;10380;10800;2800;2590;9870;4135;1780;40;20;40
1056;20385;10350;10035;2620;2250;9435;4430;1650;40;20;40
1057;17530;8685;8845;2240;2095;7755;3835;1600;50;20;30
1058;15955;7545;8410;2145;1550;7425;3265;1565;60;20;20
1059;6580;3185;3400;760;765;3050;1450;555;50;20;20
1060;10060;4995;5065;1625;1625;2275;3400;1130;40;10;50
1061;15885;7915;7970;2840;2865;6290;2805;1090;20;10;60
1062;13570;6930;6640;1555;2460;6805;1800;955;30;20;40
1063;12890;6620;6265;2485;1730;4370;2940;1365;20;20;60
1064;17120;8655;8465;3155;2230;5495;4035;2205;30;10;60
1065;12250;6020;6230;2205;1835;3950;2560;1705;30;20;50
1066;18230;8985;9240;2760;2565;4980;5250;2670;50;20;40
1067;20200;10205;9995;4270;2635;6505;4505;2280;20;10;60
1068;16680;8215;8460;2720;2080;5000;3750;3130;30;10;50
1069;26345;13040;13310;5235;3445;8455;5870;3345;30;10;60
1071;12620;6235;6385;1795;1265;3790;3290;2485;60;30;10
1072;13730;6745;6985;1195;1475;6690;2975;1390;50;30;20
1073;13360;6555;6810;1310;1385;5835;3180;1650;50;30;30
1074;8355;4065;4290;885;975;3380;1995;1120;50;20;30
1075;10550;5125;5425;1485;1115;3840;2720;1390;50;30;20
1076;11415;5395;6020;1540;1005;4530;2725;1615;50;20;20
1077;9785;4645;5145;1925;975;2490;2585;1815;60;30;10
1078;14765;6905;7860;1980;1475;6095;3185;2030;60;20;20
1079;14680;6865;7815;1635;1450;6235;3140;2220;60;20;20
1081;5320;2550;2770;695;485;1395;1230;1515;50;30;20
1082;12115;5855;6260;1535;1195;5145;2200;2035;40;30;30
1083;7760;3680;4075;805;1060;2620;1390;1880;40;30;30
1086;4255;2165;2090;1065;610;1170;1250;165;50;20;30
1087;19755;9725;10030;5015;2455;6220;5105;965;50;20;40
1091;16980;8475;8510;1905;1955;7360;3880;1880;50;20;30
1092;9025;4450;4575;1260;985;3655;2145;985;50;20;40
1093;10225;5025;5200;1220;1195;3955;2455;1400;50;20;40
1094;12530;6240;6290;1575;1515;5540;2675;1225;40;20;40
1095;14605;7295;7310;1990;2270;5685;3120;1535;40;20;40
1096;5075;2615;2460;350;910;2970;605;245;60;30;20
1097;14880;7325;7555;1905;1785;5255;3435;2500;50;20;30
1098;15790;7535;8250;2430;3080;4820;3660;1800;60;20;20
1101;120;85;35;-99997;15;80;20;-99997;10;50;40
1102;24935;12605;12330;3815;4940;8115;6085;1980;20;10;70
1103;14275;7215;7060;2235;2155;4025;3845;2015;20;10;70
1104;15495;7760;7735;2770;2270;4730;4010;1710;20;10;70
1105;625;340;285;15;350;205;45;10;40;20;40
1106;18080;8715;9365;3145;2395;4590;5050;2905;30;10;60
1107;11635;5645;5985;1770;1355;3315;3295;1895;30;10;60
1108;3035;1580;1450;370;260;980;790;630;50;20;30
1109;1620;780;845;300;190;350;495;285;80;10;10
1111;14495;7005;7490;2220;2290;3950;3670;2370;60;20;30
1112;12690;6275;6415;1840;2355;4410;2460;1625;50;20;30
1113;3590;1770;1825;530;430;800;1140;695;60;10;30
1114;65;35;25;5;10;15;20;10;60;30;10
1115;5050;2460;2590;780;600;1395;1265;1005;60;20;20
1117;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1118;55;35;20;-99997;-99997;35;15;-99997;-99997;70;30
1119;25;15;10;-99997;5;15;-99997;-99997;20;50;30
1121;10245;4935;5310;1785;1075;2155;2975;2260;80;10;10
1127;825;405;420;110;110;125;305;175;90;10;0
1131;8960;4370;4585;1315;705;2155;1895;2880;90;0;0
1132;13455;6930;6525;2440;2210;3110;4340;1350;90;0;0
1135;7240;3520;3720;1030;890;1315;2105;1900;80;10;10
1141;9585;4670;4915;1420;1015;1815;2795;2540;90;10;10
1145;330;165;160;65;45;65;90;70;90;10;10
1151;2770;1355;1415;540;290;500;860;580;90;10;10
1153;315;155;155;50;40;45;110;65;90;10;0
1154;135;65;70;25;10;20;40;40;80;20;-99997
1156;1770;870;900;220;215;295;575;465;90;0;0
1161;7890;3935;3960;1195;880;1915;2285;1620;80;10;10
1165;2610;1290;1320;330;340;530;830;580;80;10;10
1171;12930;6345;6585;2085;1525;2825;3865;2630;70;10;10
1175;835;435;400;110;85;160;290;190;80;10;0
1181;20740;10040;10700;4465;1940;5655;5090;3590;50;20;20
1182;3885;1895;1985;650;445;830;1175;785;70;20;10
1183;13785;6540;7245;1720;3230;3750;2755;2330;50;20;30
1184;615;310;300;100;100;90;205;120;80;10;10
1185;11920;5645;6275;1920;1090;3305;2910;2695;50;20;30
1186;14360;6770;7590;2135;1310;3605;3470;3845;50;20;30
1187;18550;9175;9375;3875;1965;4765;5370;2575;60;20;20
1188;7325;3490;3830;1135;665;1865;2105;1555;60;20;30
1189;500;255;250;75;65;70;160;130;80;10;10
1191;8915;4360;4555;1535;1085;1600;2790;1895;80;10;10
1211;9765;5015;4755;1275;1120;3940;2275;1155;60;20;20
1212;3600;1755;1845;560;305;1125;905;710;60;10;30
1213;6975;3435;3540;1265;805;1190;2050;1665;80;20;10
1214;7635;3700;3935;1285;835;2015;2125;1370;70;10;10
1215;10165;4885;5280;1905;1045;2430;2960;1825;80;10;10
1216;8915;4200;4715;1300;955;1795;2295;2575;80;10;10
1217;7610;3705;3905;1125;1010;1175;2275;2025;80;20;10
1218;4150;1950;2200;655;400;660;1075;1360;80;10;10
1221;9180;4725;4455;1620;910;3350;2300;1000;60;20;20
1222;11060;5460;5600;1975;1160;3045;3115;1765;70;10;20
1223;11770;5790;5980;2350;1315;3090;3285;1730;70;10;20
1231;9020;4440;4575;1405;985;1705;2835;2090;80;10;10
1241;6760;3280;3480;1005;755;1200;2110;1690;90;10;0
1243;1340;665;675;145;135;250;470;335;80;10;0
1244;1530;780;750;230;175;280;525;320;90;10;0
1251;10925;5135;5790;1665;1025;1615;3135;3480;80;10;10
1252;350;170;180;75;50;75;115;40;80;20;0
1261;10635;5165;5470;1845;1020;2000;2945;2820;80;10;10
1262;895;450;445;285;60;340;170;40;80;10;10
1271;7875;3715;4160;1215;860;1580;2430;1790;80;10;10
1272;6300;3025;3275;1060;725;870;1910;1735;80;10;10
1273;8905;4325;4580;1265;885;1850;2525;2380;80;10;10
1274;6555;3290;3265;1010;715;1705;2205;920;80;10;10
1275;2025;965;1055;270;240;385;655;475;80;10;10
1276;7495;3580;3915;1165;890;1520;1950;1975;80;10;10
1277;2115;1035;1080;320;245;325;780;440;80;10;10
1309;40;20;20;-99997;5;-99997;20;10;90;-99997;-99997
1311;4665;2285;2385;745;540;1180;1460;745;60;10;30
1312;7015;3480;3535;1125;920;1830;2265;880;60;10;30
1313;4345;2170;2170;705;510;1025;1465;640;70;10;20
1314;5945;2905;3040;1115;705;1900;1575;650;40;10;50
1315;4145;2140;2005;525;435;1700;890;595;40;20;40
1316;4100;2115;1985;525;455;965;1410;750;70;10;20
1317;4030;2000;2025;660;470;1095;1230;570;60;10;20
1318;9840;4970;4870;1710;1525;2680;3130;800;50;10;40
1319;7165;3650;3515;1980;695;2445;1745;295;60;10;30
1321;9770;4935;4835;1865;1535;2355;3125;890;50;10;40
1322;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1323;6360;3065;3295;900;760;1515;2060;1125;60;10;30
1324;10510;5215;5295;1905;1405;2785;2795;1620;50;10;40
1325;10540;5150;5385;1645;1690;2540;3375;1290;60;10;30
1326;11415;5605;5810;1945;1815;2685;3700;1270;50;10;30
1327;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1328;9960;4890;5070;1925;1430;2595;2955;1050;50;10;40
1329;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1331;190;105;85;25;35;40;70;25;90;10;0
1332;5;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1333;12545;6145;6400;2210;1680;3150;3865;1640;60;10;30
1334;2040;935;1105;270;190;745;415;420;50;10;40
1335;12375;6220;6160;2350;1930;3410;3820;865;50;10;30
1336;8655;4450;4205;2050;975;2870;2105;650;60;10;30
1338;9760;4815;4945;1595;1390;2255;3290;1235;60;10;30
1339;11360;5720;5640;2195;1745;3060;3605;755;50;10;40
1341;2145;1065;1080;680;135;960;325;45;70;10;20
1343;1245;640;605;135;150;155;510;295;80;10;10
1349;1585;805;785;330;140;430;580;105;80;10;10
1351;2030;1030;1000;300;190;475;595;470;80;10;10
1352;1690;855;835;245;195;380;485;385;70;10;10
1353;4715;2160;2555;835;480;1245;1150;1010;60;10;30
1354;3000;1465;1535;570;390;865;735;440;50;10;40
1355;3000;1465;1540;550;340;825;685;600;70;10;20
1356;2705;1285;1420;430;270;610;720;670;70;10;20
1357;3500;1735;1765;530;315;885;915;850;70;10;20
1358;580;295;285;95;85;80;245;75;70;10;20
1359;2135;1055;1085;460;235;490;645;310;70;10;10
1361;2055;980;1075;540;150;750;430;185;60;10;30
1362;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1363;14700;7300;7400;3740;1315;6455;2505;680;40;10;50
1381;4990;2385;2605;720;470;990;1560;1245;80;10;10
1382;10140;4935;5205;1690;975;2810;2740;1925;60;10;20
1383;3570;1775;1795;530;375;750;1165;745;80;10;10
1384;1040;515;525;395;35;475;120;15;80;10;10
1391;8105;3995;4105;1620;895;1550;2465;1575;80;10;10
1393;1565;770;795;290;185;290;495;305;80;10;10
1394;5500;2670;2830;925;570;1070;1625;1315;90;10;10
1396;1430;690;740;260;150;290;440;290;90;10;0
1398;3585;1750;1835;665;305;760;1050;810;80;10;10
1399;3075;1485;1590;535;325;450;1030;740;80;10;10
1401;4890;2340;2550;1060;555;1000;1445;830;80;10;10
1402;9630;4655;4975;2020;985;2265;2825;1530;80;10;10
1403;9350;4415;4935;1480;880;2330;2460;2205;70;10;10
1404;3490;1720;1765;425;365;1080;850;770;70;20;10
1405;2940;1445;1500;610;415;465;875;580;80;10;10
1406;3475;1660;1815;590;420;545;1040;880;80;10;0
1411;10040;4865;5175;1745;1115;1745;3015;2420;80;10;10
1412;7580;3705;3875;1750;800;1370;2105;1550;80;10;10
1421;6070;2985;3085;995;705;1625;1755;995;70;10;20
1422;13255;6445;6810;2315;1475;3235;3495;2740;70;10;20
1423;5660;2825;2835;805;750;1085;2060;965;80;10;10
1424;4490;2255;2235;690;600;980;1465;755;90;10;0
1426;865;430;430;110;85;150;300;215;90;10;0
1427;1020;500;520;150;130;195;345;205;90;10;10
1428;110;55;55;15;10;25;30;30;90;0;-99997
1431;12625;6155;6475;1790;1430;2725;3595;3085;80;10;10
1432;9960;5010;4950;2015;1330;2065;3235;1320;80;10;10
1433;9270;4650;4620;1775;995;2285;2710;1505;80;10;10
1435;4230;2180;2050;555;540;815;1360;960;80;10;10
1436;500;260;245;60;60;105;180;95;90;10;0
1437;45;30;20;-99997;-99997;20;20;5;50;40;-99997
1438;175;90;85;15;20;30;80;30;80;10;10
1441;14545;7055;7490;1795;1585;3585;4040;3540;80;10;10
1442;6815;3265;3550;1050;765;1855;1720;1425;70;10;20
1443;7460;3540;3925;1135;840;1790;1810;1885;60;10;30
1444;6690;3285;3410;675;680;1345;1805;2190;80;10;10
1445;9230;4535;4695;1395;1060;2350;2840;1590;70;10;20
1446;5060;2510;2550;730;585;1220;1645;880;70;10;20
1447;12480;6155;6325;1635;1630;2450;4455;2310;80;10;10
1448;18970;9305;9665;3450;2530;4585;5910;2495;70;10;20
1451;410;195;215;65;50;65;170;65;90;10;0
1452;1815;905;910;290;175;370;570;410;90;10;10
1454;540;270;270;100;50;140;155;95;90;10;10
1456;1830;920;910;225;240;330;660;380;90;10;0
1458;180;95;85;20;25;35;65;40;90;0;0
1461;3630;1795;1835;670;385;785;1025;765;90;10;0
1462;5000;2505;2495;835;540;1165;1470;995;90;10;10
1463;620;310;310;105;70;115;215;115;90;10;0
1464;770;395;375;130;90;150;260;140;90;10;0
1471;740;365;375;85;100;95;275;185;90;10;0
1472;715;365;355;105;100;130;215;165;90;10;10
1473;805;410;395;95;110;120;280;195;90;10;0
1474;3340;1650;1685;510;395;700;980;760;90;10;10
1475;535;270;265;75;50;105;185;120;90;10;0
1476;115;60;55;15;10;20;40;30;90;10;-99997
1477;175;85;90;10;20;30;60;55;90;0;-99997
1481;115;65;50;20;20;20;40;20;90;10;-99997
1482;150;85;65;25;15;30;55;25;90;10;-99997
1483;4050;2060;1990;570;520;800;1225;935;90;10;0
1484;890;430;460;105;125;120;285;250;90;0;0
1485;90;45;45;15;15;10;30;25;90;10;-99997
1486;755;375;380;70;75;120;290;200;90;10;0
1487;150;80;70;10;20;25;55;40;90;10;-99997
1488;210;100;105;40;25;40;65;40;90;10;-99997
1489;160;80;80;15;30;20;80;20;90;10;0
1501;6505;3215;3290;1060;685;1990;1730;1045;70;20;20
1502;8355;4040;4315;1240;755;2295;2125;1940;60;10;30
1503;11380;5465;5915;2025;1335;2980;2775;2265;40;10;50
1504;8615;4175;4435;1855;1095;2520;2000;1145;30;10;60
1505;6580;3260;3320;1375;730;2025;1645;810;50;10;40
1506;12915;6585;6330;1740;1455;3600;3715;2410;70;20;20
1507;13240;6610;6635;1940;1715;3675;4205;1710;70;10;20
1508;4700;2345;2355;790;595;1470;1230;615;50;10;40
1509;6530;3230;3295;870;630;1350;1805;1880;80;10;10
1511;9735;4805;4930;1535;1165;2020;3005;2010;90;10;10
1521;11305;5570;5735;1565;1195;3025;3085;2435;70;10;10
1525;590;295;290;65;80;100;240;95;80;10;10
1531;13055;6460;6595;1920;1570;2625;3830;3105;80;10;10
1534;495;250;245;60;70;60;190;120;90;0;0
1536;325;170;160;50;45;45;110;80;90;10;0
1541;11275;5575;5700;1665;1240;2485;3140;2745;80;10;10
1544;8645;4280;4365;1190;1090;1810;2820;1730;70;10;20
1546;710;340;370;95;95;95;250;175;90;0;0
1551;4865;2520;2345;625;580;1040;1620;995;90;10;10
1561;8115;3960;4155;1125;760;1955;2285;1990;80;10;10
1562;9185;4485;4700;1525;1195;1775;2600;2090;80;10;10
1566;12995;6515;6480;2000;1700;2710;4210;2375;80;10;10
1567;10965;5410;5555;3140;1325;3485;2525;490;70;10;20
1601;7435;3670;3765;855;675;1535;2180;2185;90;10;0
1602;11155;5655;5500;2030;1305;2860;3060;1900;80;10;10
1606;4320;2185;2135;680;530;900;1275;930;90;10;0
1607;1515;790;720;240;180;330;470;290;90;10;0
1608;1370;710;660;200;160;260;450;300;90;10;0
1609;105;60;45;5;15;5;50;30;90;10;-99997
1611;10210;5095;5115;1595;1305;2135;2870;2310;90;10;10
1613;9320;4700;4620;1595;1050;2270;2470;1935;90;10;10
1614;2200;1130;1070;315;250;485;595;550;90;10;0
1616;8255;4090;4165;1370;970;1930;2150;1835;90;10;0
1617;1815;950;865;315;240;385;525;350;90;10;0
1619;6880;3550;3335;1105;765;1445;2070;1500;90;10;0
1621;5525;2665;2860;465;570;1415;1590;1490;80;10;10
1622;7640;3740;3900;1275;905;1920;2065;1475;60;10;30
1623;2535;1220;1315;365;300;515;800;560;90;10;10
1624;5625;2745;2880;885;625;1325;1520;1275;70;10;20
1625;9640;4640;5000;1395;960;1950;2500;2835;80;10;10
1627;15;10;5;-99997;-99997;5;-99997;-99997;90;-99997;-99997
1628;20725;10305;10415;3445;3015;4900;6605;2760;70;10;20
1631;445;230;215;45;55;65;185;95;90;10;0
1633;3475;1770;1705;490;490;640;1105;750;90;10;0
1634;440;205;235;35;45;75;150;135;90;10;0
1636;1260;655;605;170;170;280;375;265;90;10;0
1641;935;480;455;130;110;215;270;210;90;10;0
1642;45;25;20;5;-99997;5;10;20;90;-99997;-99997
1643;465;245;220;50;70;85;185;70;100;0;0
1645;2845;1410;1435;445;390;555;840;615;90;0;0
1646;65;30;35;5;5;10;30;15;90;10;-99997
1647;2575;1310;1265;360;355;440;795;625;90;10;0
1648;3475;1740;1735;725;410;980;820;540;90;0;0
1652;535;270;265;90;55;105;175;110;100;0;0
1654;720;375;345;100;90;140;225;165;90;10;0
1655;945;485;460;160;110;230;260;190;90;10;0
1657;2075;1035;1040;290;215;415;620;535;90;10;0
1658;170;90;80;15;20;25;70;40;90;10;-99997
1661;445;225;215;55;70;90;155;70;90;10;-99997
1662;320;170;150;40;60;45;120;55;90;10;-99997
1663;110;55;55;20;20;20;40;10;100;-99997;-99997
1671;8590;4270;4320;1420;980;2005;2345;1840;80;10;10
1674;1955;980;975;320;255;410;585;380;90;10;10
1676;1105;555;550;155;125;195;375;255;90;10;0
1678;865;450;415;90;120;135;320;200;90;10;0
1679;2320;1175;1145;365;250;500;700;500;80;10;0
1681;265;140;130;35;35;50;100;45;80;20;-99997
1682;210;120;90;40;30;45;70;25;80;10;0
1683;210;110;100;35;30;55;60;35;90;10;0
1684;425;220;205;65;50;85;140;85;90;10;0
1685;470;245;225;85;60;95;150;80;90;10;0
1686;120;60;60;15;20;20;40;20;90;-99997;10
1687;6330;3255;3075;1065;805;1405;1790;1265;90;0;0
1688;2455;1245;1210;410;340;495;675;530;90;10;0
1689;17345;8755;8590;3650;1780;5375;4055;2485;80;10;10
1691;675;350;325;110;70;130;205;155;90;10;0
1692;30;15;15;5;-99997;-99997;10;10;90;-99997;-99997
1693;8175;4165;4010;1300;960;1830;2440;1645;90;10;0
1695;4200;2060;2140;565;435;715;1095;1390;90;10;0
1696;1505;775;730;235;185;335;485;265;90;10;0
1697;835;430;405;95;95;135;260;250;90;10;0
1701;8895;4450;4445;1370;1045;1955;2230;2300;80;10;10
1702;8600;4215;4390;1300;1060;1690;2235;2320;80;10;10
1703;12535;6375;6160;1800;1355;3180;3440;2760;80;10;10
1704;8680;4445;4235;1590;1140;2285;2450;1220;80;10;10
1705;16845;8505;8340;3735;2170;4690;4675;1580;80;10;20
1706;2015;1040;975;570;185;800;345;115;80;10;10
1711;1595;850;745;255;140;335;530;325;90;10;0
1713;5910;2930;2980;980;790;1285;1670;1185;90;0;0
1715;4305;2180;2125;695;560;1055;1075;915;90;10;0
1716;2200;1120;1080;315;285;455;695;450;90;0;0
1718;3975;2015;1960;595;460;900;1135;885;90;10;0
1719;480;245;235;70;55;85;155;120;90;10;0
1721;6135;3040;3095;1110;755;1400;1670;1200;90;10;10
1722;6085;3035;3050;925;740;1200;1780;1435;90;10;10
1723;5750;2835;2910;940;625;1420;1515;1250;90;10;10
1724;3925;2010;1910;575;540;820;1355;635;90;10;0
1731;3400;1720;1685;670;400;860;950;525;90;10;0
1732;775;410;370;105;90;170;250;160;90;10;0
1733;3330;1675;1650;460;420;640;1035;775;90;10;0
1734;400;210;190;50;50;65;135;100;90;0;-99997
1735;2165;1120;1045;345;275;450;640;450;90;10;0
1736;395;200;200;65;60;75;135;70;100;0;-99997
1738;2665;1365;1300;405;400;525;805;530;90;10;0
1741;12430;5965;6465;1840;1240;2610;3130;3605;90;10;10
1742;6530;3275;3255;940;800;1280;2010;1505;90;10;10
1744;1875;980;890;265;225;300;600;485;90;10;0
1746;1640;855;785;250;185;310;485;415;90;10;0
1747;3775;1930;1845;620;495;770;1170;720;90;10;0
1749;6100;3065;3035;940;800;1145;1885;1330;90;10;0
1751;2080;1045;1035;305;285;380;655;450;90;10;0
1752;735;385;350;105;80;130;240;175;90;10;0
1753;620;330;295;75;65;130;190;160;80;20;0
1754;835;430;400;130;100;150;295;155;90;10;0
1755;1655;845;815;245;170;325;525;390;90;10;0
1756;2425;1210;1210;440;290;545;620;525;90;10;0
1757;710;365;345;65;115;150;250;130;90;10;0
1759;2380;1170;1210;245;255;340;770;770;90;10;0
1761;8355;4150;4205;1270;1040;1810;2490;1745;90;10;0
1764;3775;1940;1835;545;500;785;1205;740;90;10;0
1766;2270;1190;1080;370;265;535;705;390;90;10;0
1767;1030;525;505;140;115;240;350;185;90;10;0
1768;920;475;450;125;125;160;330;185;90;10;0
1769;190;105;85;20;15;30;75;50;90;0;-99997
1771;5930;3010;2920;865;680;1300;1690;1395;90;10;0
1773;590;305;285;115;80;185;150;60;70;20;0
1774;2130;1110;1020;385;255;510;630;350;80;10;0
1775;4250;2215;2030;665;605;1035;1140;805;80;20;0
1777;5145;2580;2570;745;575;1055;1475;1295;90;10;0
1778;920;485;435;110;105;150;320;235;90;10;0
1779;2455;1225;1230;365;260;555;695;580;90;10;0
1781;9050;4645;4405;1195;1045;2365;2800;1650;80;10;10
1782;10680;5305;5375;1640;1105;2695;3110;2130;80;10;10
1783;2630;1220;1410;370;260;575;725;705;80;10;10
1784;9380;4700;4680;1440;1160;2185;2445;2150;70;10;20
1785;9180;4355;4825;1095;830;1565;2555;3140;80;10;10
1786;160;85;75;10;20;20;60;45;90;10;-99997
1787;2665;1350;1315;340;255;600;825;645;90;10;0
1788;11970;5985;5985;1900;1370;2740;3745;2215;80;10;10
1789;580;280;300;75;50;100;175;185;90;10;0
1791;7045;3415;3630;910;685;1390;2085;1985;90;10;0
1792;1330;700;630;190;160;240;455;280;90;10;0
1793;365;190;175;35;50;45;140;95;90;0;0
1794;1310;645;665;210;130;260;440;275;90;10;0
1795;1155;600;560;160;110;235;405;250;90;10;0
1796;1365;695;670;165;135;305;460;305;80;10;10
1797;1000;500;505;100;105;195;305;295;90;10;0
1811;5185;2650;2535;400;580;2100;1415;690;80;10;10
1812;220;130;90;20;30;35;85;50;90;10;0
1813;8630;4250;4380;1505;930;2695;2180;1320;60;10;40
1814;9505;4475;5030;1400;1000;2205;2485;2415;80;10;10
1815;7200;3525;3675;955;780;1940;2060;1470;80;10;10
1816;8420;4230;4190;1110;870;2370;2270;1800;70;10;20
1817;3750;1810;1940;595;395;865;1085;810;80;10;0
1821;1635;830;810;255;130;535;435;285;80;10;10
1822;5375;2750;2625;1250;625;1535;1470;495;80;10;10
1823;7080;3445;3635;1125;785;1670;2100;1395;70;10;20
1824;7570;3720;3850;1190;840;1950;1835;1760;70;10;20
1825;9260;4610;4650;1500;925;2560;2635;1640;70;10;20
1826;6460;3235;3225;1050;695;1665;1725;1325;80;10;10
1827;10600;5275;5325;1765;1195;2600;3365;1675;80;10;10
1829;4045;1920;2125;570;405;755;1045;1275;90;10;10
1831;2495;1245;1250;370;300;475;795;555;80;10;10
1832;250;125;130;40;40;35;90;45;90;10;0
1834;6025;2970;3055;1035;715;1225;1735;1320;90;10;0
1841;1995;1000;995;355;210;505;615;310;90;10;0
1842;630;310;320;90;80;85;210;160;90;0;0
1843;690;350;340;105;70;110;255;150;90;10;0
1844;245;120;130;40;30;35;90;50;90;10;0
1846;400;210;190;65;45;85;130;75;90;0;0
1847;230;115;120;35;35;45;80;40;90;10;0
1851;12775;6370;6410;1860;1545;2265;4090;3015;90;10;0
1852;10435;5080;5355;1530;1045;1725;2880;3255;90;10;10
1853;705;335;370;180;70;225;170;55;90;10;0
1861;6385;2985;3400;740;620;685;1990;2355;80;10;0
1862;6185;2935;3250;805;695;820;1740;2130;80;10;0
1865;335;145;190;35;20;35;115;125;80;10;0
1871;4650;2260;2390;485;460;605;1470;1630;90;10;0
1873;1465;710;755;180;175;215;525;370;90;10;0
1901;14625;7180;7440;2170;1630;2910;4200;3715;90;10;0
1902;8675;4210;4470;1240;965;1580;2535;2360;90;10;10
1906;7445;3720;3725;1050;955;1380;2305;1755;90;10;0
1911;13665;6890;6775;2260;1740;3100;4095;2470;90;10;10
1921;5075;2560;2515;735;670;1000;1535;1135;90;10;0
1931;4560;2235;2330;450;375;705;1315;1720;90;10;0
1934;3665;1815;1850;520;485;660;1190;810;90;10;0
1935;2590;1315;1275;315;320;465;910;575;90;0;0
1941;3460;1850;1610;270;290;1175;890;835;70;20;20
1942;2350;1180;1165;295;270;465;750;570;90;10;0
1943;5025;2510;2510;840;550;1200;1500;935;80;10;10
1944;7180;3550;3630;1110;750;1925;1970;1420;80;10;10
1945;7005;3440;3565;915;700;1655;1895;1835;70;10;20
1946;4545;2235;2315;790;550;1280;1205;715;50;10;30
1947;3685;1875;1810;605;395;1090;1025;570;60;10;30
1948;6205;3140;3060;1560;910;1680;1800;255;80;10;10
1949;2170;1120;1050;240;225;490;750;460;80;20;0
1951;5315;2730;2585;1005;585;1540;1445;740;60;20;20
1961;1220;565;650;75;65;235;310;540;90;10;0
1962;7395;3515;3880;1160;815;1785;1965;1675;70;10;20
1963;5500;2695;2805;775;525;1135;1710;1355;90;10;10
1964;7125;3355;3770;875;810;1510;2080;1850;80;10;10
1965;6075;3015;3065;790;850;1095;2105;1235;90;10;0
1966;5105;2545;2555;755;530;1325;1335;1160;60;10;30
1967;5250;2720;2530;1125;700;1260;1620;540;80;10;10
1968;340;165;175;30;40;45;110;110;90;10;-99997
1969;1170;610;565;145;140;210;405;270;90;0;0
1971;8925;4435;4490;1395;1070;2435;2660;1370;80;10;10
1972;8230;4055;4175;1195;890;2205;2280;1665;80;10;10
1973;5735;2830;2900;885;605;1570;1490;1185;80;10;10
1974;6125;2920;3205;925;660;1205;1745;1590;70;10;20
1975;2775;1455;1325;430;275;810;730;535;70;10;20
1976;335;180;150;30;30;55;115;105;70;30;10
1981;2040;1025;1015;280;195;270;620;675;90;10;0
1985;3140;1495;1645;415;380;405;960;980;90;10;0
1991;13275;6615;6660;1845;1975;2360;4760;2335;90;10;10
1992;2090;1055;1030;330;335;410;710;300;90;10;10
